Name,Name Link,ChEBI-ID,ChEBI-ID Link,CAS Registry NumberⓇ,CAS Registry NumberⓇ Link,Formula,Mass,ID,PubChem CID,GESTIS ZVG-Nr.,group,Other ingredients from the group,kegg_id,density,Synonym,Used attributes,Found in,solutions list link,media list link,identifiers
Pyruvate,https://mediadive.dsmz.de/ingredients/1386?p=39,15361,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15361,57-60-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=57-60-3,C3H3O3-,87.05,C1386,107735,,,,C00022,,"['2-oxopropanoate', '2-oxopropanoic acid, ion(1-)', 'Pyruvate ion']",['1 M (1×)'],"['4 solutions', '4 media']",https://mediadive.dsmz.de/solution-finder/Pyruvate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Pyruvate///,"{""CAS Registry Number\u00ae"": {""text"": ""57-60-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=57-60-3""}, ""PubChem CID"": {""text"": ""107735"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/107735""}, ""ChEBI"": {""text"": ""15361"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15361""}, ""KEGG"": {""text"": ""C00022"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00022""}}"
SL10,https://mediadive.dsmz.de/ingredients/1387?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,,C1387,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/SL10///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/SL10///,null
Sodium lactate,https://mediadive.dsmz.de/ingredients/1392?p=39,75228,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75228,72-17-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=72-17-3,C3H6O3.Na,112.06,C1392,23666456,,Na-DL-lactate,"['Na-DL-lactate', 'Na-lactate', 'DL-Na-lactate', 'Sodium DL-lactate']",,,"['2-Hydroxypropanoic acid, monosodium salt', 'Compound solution of Sodium Lactate', 'E325', 'Lactic acid sodium salt', 'Lactic acid, monosodium salt', 'Mediject L', 'Monosodium 2-hydroxypropanoate', 'Monosodium lactate', 'Propanoic acid, 2-hydroxy-, monosodium salt', 'sodium 2-hydroxypropanoate', 'Sodium alpha-hydroxypropionate', 'Sodium lactate solution']","['1.0 M (6×)', '1 M (6×)', '*, 1.0 M (3×)', 'filter-sterilized, 6.0% (1×)', 'approx. 60% (1×)', '10% (1×)', 'autoclaved, 5% (1×)', '50% (1×)']","['43 solutions', '36 media']",https://mediadive.dsmz.de/solution-finder/Sodium+lactate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Sodium+lactate///,"{""CAS Registry Number\u00ae"": {""text"": ""72-17-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=72-17-3""}, ""PubChem CID"": {""text"": ""23666456"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/23666456""}, ""ChEBI"": {""text"": ""75228"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75228""}}"
Eisencitrat,https://mediadive.dsmz.de/ingredients/1401?p=39,55553,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:55553,131257-07-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=131257-07-3,C6H8FeO7,247.97,C1401,9881379,,,,,,"[""2'-Deoxyguanosine 3'-(dihydrogen phosphate)"", ""2'-Deoxyguanosine 3'-phosphate""]",,"['1 solutions', '4 media']",https://mediadive.dsmz.de/solution-finder/Eisencitrat///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Eisencitrat///,"{""CAS Registry Number\u00ae"": {""text"": ""131257-07-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=131257-07-3""}, ""PubChem CID"": {""text"": ""9881379"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/9881379""}, ""ChEBI"": {""text"": ""55553"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:55553""}}"
R2A Broth,https://mediadive.dsmz.de/ingredients/1402?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C1402,,,,,,,,['DAIGO) (Nihon Pharm. Co. (1×)'],"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/R2A+Broth///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/R2A+Broth///,null
Soy flour,https://mediadive.dsmz.de/ingredients/1405?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,68513-95-1,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=68513-95-1,complex,complex,C1405,,,,,,,"['Flour, soy']",['full-fat (2×)'],"['3 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Soy+flour///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Soy+flour///,"{""CAS Registry Number\u00ae"": {""text"": ""68513-95-1"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=68513-95-1""}}"
alpha-ketoglutaric acid,https://mediadive.dsmz.de/ingredients/1408?p=39,30915,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30915,328-50-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=328-50-7,C5H6O5,146.1,C1408,51,,,,C00026,,"['2-Ketoglutaric acid', '2-oxopentanedioic acid', 'Oxoglurate', 'Oxoglutaric acid']",,"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/alpha-ketoglutaric+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/alpha-ketoglutaric+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""328-50-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=328-50-7""}, ""PubChem CID"": {""text"": ""51"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/51""}, ""ChEBI"": {""text"": ""30915"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30915""}, ""KEGG"": {""text"": ""C00026"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C00026""}, ""MetaCyc"": {""text"": ""2-KETOGLUTARATE"", ""href"": ""https://metacyc.org/compound?orgid=META&id=2-KETOGLUTARATE""}}"
lipoprotein concentrate,https://mediadive.dsmz.de/ingredients/1410?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C1410,,,,,,,,['LPC; MPBiomedical (1×)'],"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/lipoprotein+concentrate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/lipoprotein+concentrate///,null
Na2alpha-ketoglutarate,https://mediadive.dsmz.de/ingredients/1412?p=39,16810,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16810,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,C5H4O5,144.082,C1412,,,,,,,,,"['2 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/Na2+alpha-ketoglutarate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2+alpha-ketoglutarate///,"{""ChEBI"": {""text"": ""16810"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16810""}}"
TMN-FH Medium,https://mediadive.dsmz.de/ingredients/1413?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,,C1413,,,,,,,,"['Sigma-Aldrich, T3285 (1×)']","['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/TMN-FH+Medium///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/TMN-FH+Medium///,null
Na2MoO7O4x 2 H2O,https://mediadive.dsmz.de/ingredients/1416?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,,C1416,,,,,,,,,"['1 solutions', '5 media']",https://mediadive.dsmz.de/solution-finder/Na2MoO7O4+x+2+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2MoO7O4+x+2+H2O///,null
Na-Nitrilotriacetat,https://mediadive.dsmz.de/ingredients/1417?p=39,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,5064-31-3,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=5064-31-3,C6H9NO6.3Na,,C1417,,,,,,,,,"['1 solutions', '5 media']",https://mediadive.dsmz.de/solution-finder/Na-Nitrilotriacetat///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na-Nitrilotriacetat///,"{""CAS Registry Number\u00ae"": {""text"": ""5064-31-3"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=5064-31-3""}}"
Fe SO4x 7 H2O,https://mediadive.dsmz.de/ingredients/1418?p=39,75836,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75836,7782-63-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7782-63-0,FeH14O11S,278.015,C1418,,4450,FeSO4,"['FeSO4 x 7 H2O', 'FeSO4', 'FeSO4 x 6 H2O', 'FeSO4 x H2O', 'FeSO4 x 5 H2O']",,,"['copperas', 'Fero-Gradumet', 'ferrous sulfate heptahydrate', 'ferrous sulfate.7H2O', 'FeSO4.7H2O', 'green vitriol', 'iron vitriol', 'iron(2+) sulfate--water (1/7)', 'iron(2+) sulfate.7H2O', 'iron(II) sulfate.7H2O', 'melanterite', 'melanterite mineral', 'Tetucur-S']",['10.0 g/l stock solution (1×)'],"['6 solutions', '13 media']",https://mediadive.dsmz.de/solution-finder/Fe+SO4+x+7+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Fe+SO4+x+7+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7782-63-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7782-63-0""}, ""ChEBI"": {""text"": ""75836"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75836""}, ""MetaCyc"": {""text"": ""CPD0-2418"", ""href"": ""https://metacyc.org/compound?orgid=META&id=CPD0-2418""}, ""GESTIS ZVG-Nr."": {""text"": ""4450"", ""href"": ""https://gestis.dguv.de/data?name=004450""}}"
Na2-tartrate x 2 H2O,https://mediadive.dsmz.de/ingredients/1423?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,6106-24-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=6106-24-7,C4H6O6.2H2O.2Na,,C1423,,,,,,,,,"['1 solutions', '2 media']",https://mediadive.dsmz.de/solution-finder/Na2-tartrate+x+2+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Na2-tartrate+x+2+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""6106-24-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=6106-24-7""}}"
Mucin from porcine stomach Type III,https://mediadive.dsmz.de/ingredients/1433?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,,C1433,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Mucin+from+porcine+stomach+Type+III///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Mucin+from+porcine+stomach+Type+III///,null
Cresol red,https://mediadive.dsmz.de/ingredients/1436?p=40,86218,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86218,1733-12-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1733-12-6,C21H18O5S,382.43,C1436,,110790,,,,,"[""3',3''-Dimethylphenolsulfonephthalein"", '3,3-bis(4-hydroxy-5-methylphenyl)-2,1lambda(6)-benzoxathiole-1,1(3H)-dione', 'Cresolsulfophthalein', 'NSC 7224', 'o-Cresol Red', 'o-Cresolsulfonephthalein']",,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Cresol+red///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Cresol+red///,"{""CAS Registry Number\u00ae"": {""text"": ""1733-12-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=1733-12-6""}, ""ChEBI"": {""text"": ""86218"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86218""}, ""GESTIS ZVG-Nr."": {""text"": ""110790"", ""href"": ""https://gestis.dguv.de/data?name=110790""}}"
D(+)-Trehalose,https://mediadive.dsmz.de/ingredients/1437?p=40,27082,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27082,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,C12H22O11,342.297,C1437,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/D%28%2B%29-Trehalose///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/D%28%2B%29-Trehalose///,"{""ChEBI"": {""text"": ""27082"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27082""}}"
Sodium succinate dibasic,https://mediadive.dsmz.de/ingredients/1438?p=40,150903,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:150903,14047-56-4,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=14047-56-4,C4H4Na2O4,162.05,C1438,9020,,,,,,"['6-deoxy-alpha-L-galacto-hexopyranosyl-(1->3)-[alpha-D-gluco-hexopyranosyl-(1->4)]-D-galacto-hexopyranose', 'Fuc(a1-3)[Glc(a1-4)]Gal', 'WURCS=2.0/3,3,2/[a2112h-1x\\_1-5][a1221m-1a\\_1-5][a2122h-1a\\_1-5]/1-2-3/a3-b1\\_a4-c1']",,"['3 solutions', '3 media']",https://mediadive.dsmz.de/solution-finder/Sodium+succinate+dibasic///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Sodium+succinate+dibasic///,"{""CAS Registry Number\u00ae"": {""text"": ""14047-56-4"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=14047-56-4""}, ""PubChem CID"": {""text"": ""9020"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/9020""}, ""ChEBI"": {""text"": ""150903"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:150903""}}"
CeCl3 x 7 H2O,https://mediadive.dsmz.de/ingredients/1444?p=40,35458,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35458,7790-86-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7790-86-5,CeCl3,246.474,C1444,,122852,CeCl3,['CeCl3'],,,"['CeCl3', 'cerium chloride', 'cerium trichloride', 'cerium(3+) chloride', 'cerium(III) chloride', 'cerous chloride', 'cerous(III) chloride', 'trichloridocerium', '[CeCl3]']",,"['3 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/CeCl3+x+7+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/CeCl3+x+7+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7790-86-5"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7790-86-5""}, ""ChEBI"": {""text"": ""35458"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35458""}, ""GESTIS ZVG-Nr."": {""text"": ""122852"", ""href"": ""https://gestis.dguv.de/data?name=122852""}}"
DL-aspartic acid,https://mediadive.dsmz.de/ingredients/1445?p=40,22660,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22660,617-45-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=617-45-8,C4H7NO4,133.103,C1445,,12910,,,C16433,,"['(+-)-Aspartic acid', '(R,S)-Aspartic acid', '2-aminobutanedioic acid', 'Asp', 'aspartic acid', 'Aspartic acid, DL-', 'D', 'DL-Aminosuccinic acid', 'DL-Asparagic acid']",,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/DL-aspartic+acid///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/DL-aspartic+acid///,"{""CAS Registry Number\u00ae"": {""text"": ""617-45-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=617-45-8""}, ""ChEBI"": {""text"": ""22660"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:22660""}, ""KEGG"": {""text"": ""C16433"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C16433""}, ""GESTIS ZVG-Nr."": {""text"": ""12910"", ""href"": ""https://gestis.dguv.de/data?name=012910""}}"
Demineralized water,https://mediadive.dsmz.de/ingredients/1448?p=40,15377,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,H2O,18.0153,C1448,,,,,,,"['Aqua dem.', 'H2O demin. ad', 'sterile demineralized water']","['sterile  (1×)', '(1×)']","['11 solutions', '4 media']",https://mediadive.dsmz.de/solution-finder/Demineralized+water///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Demineralized+water///,"{""ChEBI"": {""text"": ""15377"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15377""}}"
FBS,https://mediadive.dsmz.de/ingredients/1450?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,133745-75-2,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=133745-75-2,C12H10FNO4S2,315.34,C1450,,,,,,,['N-Fluorobenzenesulfonimide'],['heat inactivated (1×)'],"['1 solutions', '3 media']",https://mediadive.dsmz.de/solution-finder/FBS///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/FBS///,"{""CAS Registry Number\u00ae"": {""text"": ""133745-75-2"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=133745-75-2""}}"
cholesterol lipid concentrate,https://mediadive.dsmz.de/ingredients/1451?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C1451,,,,,,,,"['250x, ThermoFisher Scientific (1×)']","['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/cholesterol+lipid+concentrate///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/cholesterol+lipid+concentrate///,null
TES,https://mediadive.dsmz.de/ingredients/1453?p=40,39035,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:39035,7365-44-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7365-44-8,C6H15NO6S,229.25,C1453,81831,,,,,,['TES buffer'],"['dry buffer (2×)', 'pH 8.0, 1 M (1×)', '(1×)']","['8 solutions', '7 media']",https://mediadive.dsmz.de/solution-finder/TES///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/TES///,"{""CAS Registry Number\u00ae"": {""text"": ""7365-44-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7365-44-8""}, ""PubChem CID"": {""text"": ""81831"", ""href"": ""https://pubchem.ncbi.nlm.nih.gov/compound/81831""}, ""ChEBI"": {""text"": ""39035"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:39035""}}"
CuSO4x 4 H2O,https://mediadive.dsmz.de/ingredients/1456?p=40,23414,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23414,7758-98-7,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=7758-98-7,CuO4S,159.61,C1456,,491473,CuSO4,"['CuSO4 x 5 H2O', 'CuSO4 x 6 H2O', 'CuSO4 x H2O', 'CuSO4', 'CuSO4 x 2 H2O', 'Copper Sulfate']",C18713,,"['copper sulfate', 'copper(2+) sulfate', 'copper(II) sulfate', 'Cupric sulfate', 'cupric sulfate anhydrous', 'CuSO4', 'Kupfersulfat']",,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/CuSO4+x+4+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/CuSO4+x+4+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""7758-98-7"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=7758-98-7""}, ""ChEBI"": {""text"": ""23414"", ""href"": ""https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:23414""}, ""KEGG"": {""text"": ""C18713"", ""href"": ""https://www.genome.jp/dbget-bin/www_bget?cpd:C18713""}, ""GESTIS ZVG-Nr."": {""text"": ""491473"", ""href"": ""https://gestis.dguv.de/data?name=491473""}}"
Bacto Heart Infusion Broth,https://mediadive.dsmz.de/ingredients/1460?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C1460,,,Meat extract,"['Meat extract', 'Beef extract', 'Ground beef', 'Brain heart infusion', 'Meat infusion', 'Lab-Lemco beef extract', 'Tryptic Digest of beef heart', 'Bacto beef extract', 'Fish meat extract', 'Beef brain powder', 'Bacto brain heart infusion', 'Beef', 'Cooked meat medium', 'Small dried sardine']",,,,['BD 238400 (1×)'],"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Bacto+Heart+Infusion+Broth///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Bacto+Heart+Infusion+Broth///,null
LaCl3 x 7 H2O,https://mediadive.dsmz.de/ingredients/1461?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,10025-84-0,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=10025-84-0,,,C1461,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/LaCl3+x+7+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/LaCl3+x+7+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""10025-84-0"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=10025-84-0""}}"
NdCl3 x 6 H2O,https://mediadive.dsmz.de/ingredients/1462?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,13477-89-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=13477-89-9,,,C1462,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/NdCl3+x+6+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/NdCl3+x+6+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""13477-89-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=13477-89-9""}}"
PrCl3 x H2O,https://mediadive.dsmz.de/ingredients/1463?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,19423-77-9,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=19423-77-9,Cl3Pr.xH2O,,C1463,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/PrCl3+x+H2O///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/PrCl3+x+H2O///,"{""CAS Registry Number\u00ae"": {""text"": ""19423-77-9"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=19423-77-9""}}"
Plain flour,https://mediadive.dsmz.de/ingredients/1465?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,130498-22-5,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=130498-22-5,complex,complex,C1465,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Plain+flour///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Plain+flour///,"{""CAS Registry Number\u00ae"": {""text"": ""130498-22-5"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=130498-22-5""}}"
Soya pepton,https://mediadive.dsmz.de/ingredients/1466?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,91079-46-8,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=91079-46-8,complex,complex,C1466,,,,,,,,['papaic digest (1×)'],"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Soya+pepton///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Soya+pepton///,"{""CAS Registry Number\u00ae"": {""text"": ""91079-46-8"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=91079-46-8""}}"
ISP 7 Medium,https://mediadive.dsmz.de/ingredients/1467?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,,,C1467,,,,,,,,['Himedia (1×)'],"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/ISP+7+Medium///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/ISP+7+Medium///,null
CAPS buffer,https://mediadive.dsmz.de/ingredients/1471?p=40,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,1135-40-6,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=1135-40-6,C9H19NO3S,221.32,C1471,,,,,,,,,"['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/CAPS+buffer///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/CAPS+buffer///,"{""CAS Registry Number\u00ae"": {""text"": ""1135-40-6"", ""href"": ""https://commonchemistry.cas.org/detail?cas_rn=1135-40-6""}}"
Anaerobe Basal Broth CM0957,https://mediadive.dsmz.de/ingredients/1473?p=41,,https://mediadive.dsmz.dehttps://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:,,https://mediadive.dsmz.dehttps://commonchemistry.cas.org/detail?cas_rn=,complex,complex,C1473,,,,,,,,"['Dehydrated, OXOID (1×)']","['1 solutions', '1 media']",https://mediadive.dsmz.de/solution-finder/Anaerobe+Basal+Broth+CM0957///?mainsol=1&optional=1,https://mediadive.dsmz.de/finder/Anaerobe+Basal+Broth+CM0957///,null
